c1,c2,c3,c4,Duration,Offset,Measure,No_in_meas
56,60,63,67,4,0,0,0
60,63,67,70,2,0,1,0
59,62,65,69,2,2,1,1
58,61,65,68,4,0,2,0
63,67,70,73,4,0,3,0
56,60,63,67,4,0,4,0
63,66,70,73,2,0,5,0
56,60,63,66,2,2,5,1
61,65,68,72,4,0,6,0
54,58,61,64,4,0,7,0
56,60,63,67,4,0,8,0
61,65,68,71,4,0,9,0
60,64,67,70,2,0,10,0
53,57,60,63,2,2,10,1
58,62,65,68,2,0,11,0
63,67,70,73,2,2,11,1
56,60,63,67,4,0,12,0
60,63,67,70,2,0,13,0
59,62,65,69,2,2,13,1
58,61,65,68,4,0,14,0
63,67,70,73,4,0,15,0
56,60,63,67,4,0,16,0
58,61,65,68,4,0,17,0
63,67,70,74,2,0,18,0
58,62,65,68,2,2,18,1
63,67,70,73,4,0,19,0
56,60,63,67,4,0,20,0
61,65,68,71,4,0,21,0
56,60,63,67,4,0,22,0
55,59,62,65,4,0,23,0
60,64,67,70,4,0,24,0
56,60,63,67,4,0,25,0
58,61,65,68,4,0,26,0
55,58,61,65,2,0,27,0
60,64,67,70,2,2,27,1
53,56,60,63,4,0,28,0
58,61,65,68,2,0,29,0
63,67,70,73,2,2,29,1
56,60,63,67,2,0,30,0
61,65,68,72,2,2,30,1
58,61,65,68,2,0,31,0
63,67,70,73,2,2,31,1
